,screen_name,created_at,full_text
97,nitsirkpaige,2019-05-26 15:22:49,"RT @IronThroneMemes: This how Ghost should ve welcomed Jon Snow back

#GameofThronesFinale #GameofThrones #GOT #GOTFinale #DemThrones https "
98,igorskateb13_18,2019-05-26 15:20:48,"Fic trailer https://t.co/aEo10GcX6D
Haver  um dia depois de um longo ver o, quando a estrela sangrar e o sopro frio da escurid o cair sobre o mundo. Nessa hora, o guerreiro ir  tirar do fogo uma espada em chamas.
P s 8 temporada.
#gameofthrones #GoT8 #GOTFinale"
99,selah_donya,2019-05-26 15:16:37,RT @hummusprinses: Ik wil vrienden die met mij naar verkiezingsresultaten kijken alsof GOTfinale of een WK is https://t.co/Q80ngpk5Gc
100,__Polanco,2019-05-26 15:15:30,"RT @4oceanBracelets: ""It's just 1 water bottle,"" said Grand Maester Samwell Tarley
#4ocean #GOTFinale #GameOfThrones https://t.co/a5cVeHcZRM"
101,BobCarverTC,2019-05-26 15:15:04,Best reactions to the Game of Thrones Finale https://t.co/dQcZcWGZxP #GOTFInale #Reactions https://t.co/SGyMLCA2Fa
102,McqueenDoc,2019-05-26 15:14:49,"#NBAFINALS #NEWS #ENTERTAINMENT #society #racism #TRUMP #GOTfinale #Islamophobic #memorialday #anniversary #bulletproof #RVCAMP #HBCU #LilNasX #Wranglerjeans #fastfood #BENCARSON #TRUMP
https://t.co/DbT8giuIR3 https://t.co/MuYNBS5Rfh"
103,CooperWilhelm,2019-05-26 15:11:40,@threelisabeth Bran does. #GOTFinale #GOT #GOTs8e3 #BranStansUnited
104,VibeWithCurls,2019-05-26 15:10:07,"RT @4oceanBracelets: ""It's just 1 water bottle,"" said Grand Maester Samwell Tarley
#4ocean #GOTFinale #GameOfThrones https://t.co/a5cVeHcZRM"
105,xdefjaex,2019-05-26 15:08:51,"RT @arthur91180215: Daenerys Sentando no Que Sobrou do Trono.
#GameOfThrones
#GOTFinale https://t.co/7qdnPOiKKb"
106,GreenleafYaxha,2019-05-26 15:06:39,"RT @sandeepkomal7: The Best Shot From Finale Episode .... Take A Bow cinematographers  
#GameOfThrones #GameOfThronesFinale #GOTFinale #GOT "
107,alvarozsj,2019-05-26 15:00:48,RT @TheJesuitPost: ICYMI: @jrqmsj writes about the #GOTfinale and the literal apocalypse. Check it out:  https://t.co/EQrG0q6MFL #SpoilerAl 
108,TheJesuitPost,2019-05-26 15:00:29,ICYMI: @jrqmsj writes about the #GOTfinale and the literal apocalypse. Check it out:  https://t.co/EQrG0q6MFL #SpoilerAlert  !! https://t.co/KcxHIfgabD
109,SverigeforUNHCR,2019-05-26 14:58:23,"RT @Refugees: Did you love or hate the #GOTFinale? If you miss Jon Snow, check out Kit Harrington in this video. https://t.co/hfiOQma41s"
110,kinnekessuiker,2019-05-26 14:55:20,RT @hummusprinses: Ik wil vrienden die met mij naar verkiezingsresultaten kijken alsof GOTfinale of een WK is https://t.co/Q80ngpk5Gc
111,MattBesser,2019-05-26 14:54:23,"RT @improv4humans: Andy Cohen hosts the LIVE Game of Thrones reunion special right here on i4h! Feat. the amazing @MrChadCarter, @LILmookie "
112,helenacolpaert,2019-05-26 14:50:19,RT @hummusprinses: Ik wil vrienden die met mij naar verkiezingsresultaten kijken alsof GOTfinale of een WK is https://t.co/Q80ngpk5Gc
113,hicklesskiddlec,2019-05-26 14:40:17,RT @williamlin: Gandalf's reaction to the #GOTFinale. https://t.co/sSQgKgGvwB
114,ETalkUK,2019-05-26 14:36:19,"ICYMI Reviewing Westeros: #GameOfThrones 806 'The Iron Throne' Series Finale! #GOT #GOTFinale @GameOfThrones @HBO

 https://t.co/cEi0UPRtCa"
115,amwebsingsi,2019-05-26 14:35:50,RT @alaxiel_: #GameOfThrones PIOR FINAL !!! O QUE FIZERAM COM ESSA TEMPORADA?#GOTFinale #GOT
116,KnotSumisu,2019-05-26 14:35:04,"RT @improv4humans: Andy Cohen hosts the LIVE Game of Thrones reunion special right here on i4h! Feat. the amazing @MrChadCarter, @LILmookie "
117,improv4humans,2019-05-26 14:34:17,"Andy Cohen hosts the LIVE Game of Thrones reunion special right here on i4h! Feat. the amazing @MrChadCarter, @LILmookieB, @Tonicharline, @A___L___i,, @vicmmic, &amp; @pizzamannion w/ @MattBesser! #GameOfThrones #GOTFinale 

Listen here: https://t.co/NweOB0KLYe https://t.co/BMeXpiD3z4"
118,improv4humans,2019-05-26 14:33:17,"RT @improv4humans: All your faves from Game of Thrones are temporarily back from the dead to give you their real opinions on each other, an "
119,marcu2b,2019-05-26 14:26:48,"RT @Rayez_: C'est  a qu'on m ritait, c'est  a qu'on fucking m ritait  
#GoTFinale https://t.co/RwO0yhwzAT"
120,barwwaquarhi,2019-05-26 14:22:26,RT @SamStrange_: What a disappointment #GOTFinale
121,sadiseman,2019-05-26 14:22:12,"RT @mokshazna: #GameOfThronesFinale
Takeaways
1. I regret hating John for leaving Ghost earlier.
2. Now on it's just the Ruler of The Six K "
122,TheCookandGooch,2019-05-26 14:21:42,"RT @PnutMan87: Ser Jayme Thee Skank Thee One Handed Hoe 
   
#GOTFinale #GameofThrones #podin  @TheCookandGooch"
123,TheCookandGooch,2019-05-26 14:21:36,"RT @PnutMan87: ""Greyworm lost Missandei too and he was hurt too, he couldn't scissor anymore"" - Cook

MA'AM      
#GOTFinale #GameofThrones "
124,jewmadbro_22,2019-05-26 14:15:36,"RT @rohitcr2k: Starks became their direwolf names.

#AryaStark #JonSnow #SansaStark #BranStark #BranTheBroken #GameOfThrones #GameOfThrones "
