,screen_name,created_at,full_text
100,EstorninosJacob,2019-05-26 19:23:28,"RT @AKASeKretS43: I'm sick over how Drogon reacted. 

Fuck the Starks, fuck Jon, Fuck Tryion, fuck the writers, and fuck HBO.

#GameofThron "
101,luandie,2019-05-26 19:23:17,"RT @AndreaOpazo_: Un d a est s a punto de heredar el trono de hierro y al otro te est s tomando el 110 para ir buscar laburo con Hodor. 
#G "
102,rafleysh,2019-05-26 19:23:16,RT @rimasays_: Pasukan daenerys targaryen #GameOfThronesFinale #GameOfThrones https://t.co/TzA6jUeY8a
103,rafleysh,2019-05-26 19:22:44,"RT @OfficialKvist: Journey of Daenerys Targaryen. One of the most iconic character to ever exist.
Now the watch is over.   
#GameOfThronesF "
104,Majin_Bejita,2019-05-26 19:21:33,RT @_NR67_: Cette sc ne ...   #JonSnow #GameOfThronesFinale #GameOfThrones https://t.co/FO1n0vLIpo
105,Shumstaehjjk,2019-05-26 19:20:39,"""Say another word about killing my brother and I'll cut your throat."" - Arya
SHE SNAPPED 
#GOT #GameOfThrones #GameOfThronesFinale"
106,mahamarant,2019-05-26 19:20:13,"S o s  lembran as :/ 
#gameofthrones
#GameOfThronesFinale https://t.co/GwGfWkg0IT"
107,NuruzzamanNilo1,2019-05-26 19:18:52,"New Design 2019

https://t.co/n4EBVE2u2P
#Indy500 #BartStarr #Rossi #LGBTQunite #Indianapolis500 #Servia #2019BTSFESTA #USWNT #Bourdais #Pagenaud #GameOfThronesFinale #Bahrain #AlJazeera #Holocaust #Baghdad #Gaza #Iraq #Poland #Trump #fintech #BrooksKoepkagirlfriend #RobertFSmith https://t.co/Q3vABN16Z7"
108,ScribblingSteve,2019-05-26 19:18:43,Short Story Showcase Collection 1: What to Read if You're Missing GoT #gameofthronesfinale #shortstories https://t.co/VJpwW33eEW
109,MIGUELLO1214,2019-05-26 19:18:37,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
110,moraleda17,2019-05-26 19:18:36,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
111,unacsertainabl_,2019-05-26 19:18:18,"RT @blackforestpk: Jaime Lannister s king slayer level is so high, that he tried to kill the king, 8 seasons ago. 
#GameOfThrones #GameOfTh "
112,mNEc3vBrmAAXict,2019-05-26 19:17:27,"RT @thelnnisters: it's what she deserves. SANSA STARK, THE QUEEN IN THE NORTH.

#GameofThrones
#GameOfThronesFinale https://t.co/y6T2R6B0sU"
113,___Awaisii___,2019-05-26 19:15:11,RT @fatimahdayala: i need to know what Arya finds west of Westeros #GameOfThronesFinale #GOT
114,Shumstaehjjk,2019-05-26 19:14:11,"Drogon burned down the Iron Throne ...
#GOT #GameOfThrones #GameOfThronesFinale"
115,DanielPava28,2019-05-26 19:13:40,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
116,samatoos,2019-05-26 19:12:55,RT @gotwiIight: obrigada por carregarem essa serie nas costas durante todos esses anos #GameOfThronesFinale https://t.co/8Q6UhL3yan
117,bill_schalz,2019-05-26 19:12:45,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ "
118,javierdelreal_,2019-05-26 19:11:33,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
119,ElPelifomano,2019-05-26 19:10:45,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
