index,screen_name,created_at,text
2885,taralipinski,2018-03-07 18:34:50,Bring on the  sparkle  Wednesday! Miss you @johnnygweir Miss you @lesdogggg 
2886,taralipinski,2018-03-08 02:09:30,LA is looking a lot different than New York today.  Boy do I love and miss a good snow day. Here s a flashback to o  
2887,taralipinski,2018-03-08 04:05:04,Well this is just sick. So cool 
2888,taralipinski,2018-03-09 16:29:36,Doodling again.   
2889,taralipinski,2018-03-10 17:22:49,@DebCinLA Good luck! Xo
2890,taralipinski,2018-03-10 18:56:18,Quads aren t just for the men anymore. Ladies Figure Skating is about to start their own quad revolution. History m  
2891,taralipinski,2018-03-10 19:10:01,But just if you needed to see more of what s happening in Russian Ladies skating we have Anna Scherbakova. Last spr  
2892,taralipinski,2018-03-10 19:12:47,@peachfish42 I sure did. But never landed one like that! Just a few Q Sals in practice. They are so fun.
2893,taralipinski,2018-03-10 22:07:16,It s so nice to be back on the ice...      
2894,taralipinski,2018-03-11 22:40:44,Last week at this time @toddkap and I got all fancy for a night on the town. Today we are going to see the Lakers p  
2895,taralipinski,2018-03-12 02:44:41,When you re just that damn good. @KingJames @cavs 
2896,taralipinski,2018-03-12 03:49:13,Went to see @kingjames   and the Lakers   play but also found one of my favorites. #LucRobitaille  @LAKings  
2897,taralipinski,2018-03-14 19:55:12,To all my skaters out there. What s your favorite spin? I go back and forth between illusions and a sit spin (speci  
2898,taralipinski,2018-03-15 17:28:14,"RT @guskenworthy: People, please don't forget about the Paralympics! Disability is NOT inability. These athletes and their stories are INCR "
2899,taralipinski,2018-03-15 18:43:24,Throwin  back to one of my favorite @makeupbynikkilarose glam looks. We ve been on a bronze kick. Those  
2900,taralipinski,2018-03-15 19:03:02,How cool is this?!? Look who s Short Doc got into the Tribeca Film Festival  Yup. My husband s. @ToddKap  
2901,taralipinski,2018-03-16 03:07:30,RT @SInow: BOW TO THE KING 
2902,taralipinski,2018-03-17 00:13:34,Scraps caught by @chelseakruse   Any suggestions of songs I should play with? #figureskating 
2903,taralipinski,2018-03-17 21:20:44,@kirbiejohnson @ChelseaKruse @kirbiejohnson on it.
2904,taralipinski,2018-03-19 18:41:52,Some Mondays you just need extra puppy snuggles. #puppylove #mondays 
2905,taralipinski,2018-03-20 20:09:22,Heading back to NYC later this week and sometimes I forget that I can t just show up at my old  
2906,taralipinski,2018-03-21 18:13:34,It s a rainy day in LA.  Who s loving it? #rainyday #LA 
2907,taralipinski,2018-03-21 18:22:16,So cute!!! 
2908,taralipinski,2018-03-22 02:11:31,@AmyKinLA Yes!!!
2909,taralipinski,2018-03-23 01:53:57,Walking out our barre like...                            @chelseakruse @debsvarc #barre #friendship #exercise  
2910,taralipinski,2018-03-24 00:41:23,RT @ScottHamilton84: #FBF to 17 years ago. 
2911,taralipinski,2018-03-24 01:18:19,Sure it could be a #flashbackfriday post but really I just wanted to post a summer pic. I m ready for sun and sand  
2912,taralipinski,2018-03-25 15:52:55,@JohnnyGWeir Birdy
2913,taralipinski,2018-03-26 22:07:51,New York always make me happy and @chelseakruse ALWAYS makes me happy. Everyone should have a friend like her. Tag  
2914,taralipinski,2018-03-27 03:33:05,@Davismcp Aww.     
2915,taralipinski,2018-03-27 18:20:19,@en2gymnastics @JohnnyGWeir That s amazing
2916,taralipinski,2018-03-27 20:50:01,RT @KellyLiyakasa: Tara and @JohnnyGWeir win my vote for best MCs at an advertiser event probably ever. #nbcuinnovationday2018  
2917,taralipinski,2018-03-27 22:40:38,Just skipping through the halls of @NBC. Don t mind us. #worklife @johnnygweir @chelseakruse 
2918,taralipinski,2018-03-28 19:39:27,Back at my happy place.    #Lowcountry #kiawahisland #southcarolina 
2919,taralipinski,2018-03-30 17:31:33,@ckcovert1     
2920,taralipinski,2018-03-30 20:27:59,Fun fact. One of my favorite things about @toddkap is when he raps.     #rap #raplife 
2921,taralipinski,2018-03-31 20:56:47,My favorite. Nothing better than seeing her laugh and smile. She has filled this house with so much love which make  
2922,taralipinski,2018-04-01 00:23:20,Kiawah bringing all the romantic feels.   @toddkap #charleston #vibes #saturdaynight 
2923,taralipinski,2018-04-03 02:48:14,My @makeupbynikkilarose keeps me laughing and keeps me pretty. So she s pretty much the perfect human.    #glam 
2924,taralipinski,2018-04-03 03:43:07,We have some exciting news! We are hosting a new @foodnetwork series and I couldn t be more excited. Anything that  
2925,taralipinski,2018-04-04 19:21:38,On a vineyard talking about cake. This job really couldn t get better.    #foodnetwork @foodnetwork What s your fav  
2926,taralipinski,2018-04-05 04:30:12,@FoodNetwork So true!!!
2927,taralipinski,2018-04-06 15:23:14,RT @NBCSuperstore: @thenohnoh @taralipinski ICONIC. #Superstore 
2928,taralipinski,2018-04-06 15:26:20,Taking you back to the early 2K with some  Genie in a bottle  My obsession with @xtina has never faded.  
2929,taralipinski,2018-04-06 22:17:32,Bring your dog to work day.    Dress by @likelynyc @foodnetwork #foodnetwork 
2930,taralipinski,2018-04-08 21:24:47,It s a good day when @toddkap is on set but it s a better day when an episode of our @foodnetwork series involves h  
2931,taralipinski,2018-04-09 21:08:15,I d rather be in the Maldives. That s all.          @ooreethirah #maldives #monday 
